#{"t_start": 1648476916.1027277, "env_id": "CarRacing-v0"}
r,l,t
-60.431655,1000,3666.209337
-0.343643,1000,3673.298373
-68.858131,1000,3680.311369
4.166667,1000,3687.492372
135.109718,1000,3694.542887
-55.271565,1000,3701.690925
2.803738,1000,3708.811924
8.614232,1000,3715.781924
7.407407,1000,3722.82944
-51.388889,1000,3729.766961
-16.38796,1000,3736.885003
-3.030303,1000,3743.974
-57.746479,1000,3750.932573
-22.178988,1000,3757.984108
350.171821,1000,3764.996104
15.079365,1000,3771.863107
190.322581,1000,3778.914151
-1.840491,1000,3786.034148
-8.783784,1000,3793.085153
27.272727,1000,3800.016666
5.633803,1000,3807.085665
-11.671924,1000,3814.317662
-42.567568,1000,3821.427188
-4.761905,1000,3828.608707
26.315789,1000,3835.723798
44.444444,1000,3842.844822
-1.023891,1000,3849.979818
17.056856,1000,3857.302332
12.903226,1000,3864.757329
27.208481,1000,3871.67533
-67.857143,1000,3878.76433
106.751055,1000,3885.661335
19.354839,1000,3892.71033
55.172414,1000,3899.55985
20.274914,1000,3906.914853
89.02439,1000,3914.585364
13.402062,1000,3922.195365
6.109325,1000,3929.159362
-57.142857,1000,3935.908368
147.457627,1000,3942.482921
0.746269,1000,3949.040445
28.676471,1000,3955.499587
3.448276,1000,3962.519588
5.660377,1000,3971.280103
-11.538462,1000,3978.677098
-32.432432,1000,3985.855615
77.121771,1000,3992.960616
-60.912052,1000,4000.141614
33.333333,1000,4007.191614
9.677419,1000,4014.343615
33.603239,1000,4021.281614
92.170819,1000,4028.305618
-56.6787,1000,4035.205614
-12.903226,1000,4043.438685
192.857143,1000,4051.349018
305.797101,1000,4060.261245
5.263158,1000,4068.689245
18.055556,1000,4075.697244
-37.728938,1000,4082.536774
-69.96997,1000,4089.455771
43.426295,1000,4096.190772
-83.870968,1000,4103.263773
20.915033,1000,4110.7518
-4.153355,1000,4117.923801
-7.063197,1000,4125.600511
5.802048,1000,4132.781514
-7.849829,1000,4139.88651
-36.842105,1000,4146.966512
26.984127,1000,4153.850511
22.44898,1000,4160.894511
-2.027027,1000,4168.108512
51.394422,1000,4175.038509
-5.956113,1000,4182.128513
-27.392739,1000,4189.437509
-76.109215,1000,4196.567516
25.925926,1000,4203.635512
-26.421405,1000,4210.803509
61.290323,1000,4218.094509
-28.571429,1000,4225.230509
-13.621262,1000,4232.34051
7.936508,1000,4239.59351
-5.844156,1000,4246.843033
-1.408451,1000,4253.976031
-1.360544,1000,4260.97303
106.081081,1000,4267.998034
2.739726,1000,4275.108551
-56.953642,1000,4282.136593
7.491857,1000,4289.32659
12.244898,1000,4296.373107
200.395257,1000,4303.35463
-72.60274,1000,4310.491627
-13.49481,1000,4317.396631
13.207547,1000,4324.478628
13.793103,1000,4332.036627
308.730159,1000,4339.147627
14.285714,1000,4346.275627
36.71875,1000,4353.210627
130.031949,1000,4360.329626
-55.223881,1000,4367.249629
-60.39604,1000,4374.454146
313.919414,1000,4381.517152
-10.216718,1000,4388.648147
-77.272727,1000,4395.706148
-58.90411,1000,4402.807149
61.172161,1000,4409.781147
13.793103,1000,4416.73915
14.982578,1000,4423.917148
19.565217,1000,4430.899149
56.950673,1000,4437.674151
-4.615385,1000,4444.851146
27.090301,1000,4451.931675
-44.649446,1000,4459.121191
110.31746,1000,4466.007193
149.158249,1000,4473.065193
-9.385113,1000,4480.21267
17.449664,1000,4487.343671
43.382353,1000,4494.526669
-64.539007,1000,4501.580671
63.265306,1000,4508.786668
56.146179,1000,4515.919699
4.026846,1000,4523.153702
5.43131,1000,4530.345699
-32.885906,1000,4537.260701
-13.18328,1000,4544.479701
0.0,1000,4551.492222
-15.309446,1000,4558.457222
-10.769231,1000,4565.66022
-76.430976,1000,4572.639222
-10.828025,1000,4579.98522
117.532468,1000,4587.147222
-13.173653,1000,4594.486218
-8.805031,1000,4601.741222
135.507246,1000,4608.88022
-0.70922,1000,4615.880221
16.438356,1000,4622.838223
4.247104,1000,4629.746222
-10.662824,1000,4636.90522
97.368421,1000,4643.95422
137.288136,1000,4650.914221
-22.535211,1000,4658.563222
44.171779,1000,4666.050341
98.653199,1000,4673.078342
-66.767372,1000,4680.068341
24.528302,1000,4686.662345
-53.068592,1000,4693.284341
14.906832,1000,4700.25734
11.821086,1000,4707.381342
3.333333,1000,4714.517341
29.151292,1000,4721.53186
30.28169,1000,4728.526859
38.686131,1000,4735.676377
13.564669,1000,4742.853894
-9.090909,1000,4749.985511
-21.568627,1000,4757.064516
-4.109589,1000,4764.181512
-4.761905,1000,4771.281511
0.864553,1000,4778.538515
